Name,Step,Evaluation Average Return
"b=10000, lr=0.005",1,-118.2168808
"b=10000, lr=0.005",2,-115.5083618
"b=10000, lr=0.005",3,-81.52677917
"b=10000, lr=0.005",4,-72.71953583
"b=10000, lr=0.005",5,-35.98335648
"b=10000, lr=0.005",6,-103.9558945
"b=10000, lr=0.005",7,-64.85747528
"b=10000, lr=0.005",8,-70.39196014
"b=10000, lr=0.005",9,-63.40773392
"b=10000, lr=0.005",10,-47.27474976
"b=10000, lr=0.005",11,-53.75763321
"b=10000, lr=0.005",12,-62.45601273
"b=10000, lr=0.005",13,-63.79056931
"b=10000, lr=0.005",14,-81.52742004
"b=10000, lr=0.005",15,-64.71673584
"b=10000, lr=0.005",16,-51.29168701
"b=10000, lr=0.005",17,-72.01552582
"b=10000, lr=0.005",18,-39.54537582
"b=10000, lr=0.005",19,-92.16918945
"b=10000, lr=0.005",20,-58.59582901
"b=10000, lr=0.005",21,-52.3424263
"b=10000, lr=0.005",22,-59.99720764
"b=10000, lr=0.005",23,-64.69490814
"b=10000, lr=0.005",24,-50.67205811
"b=10000, lr=0.005",25,-44.01400757
"b=10000, lr=0.005",26,-40.07024765
"b=10000, lr=0.005",27,-37.49267197
"b=10000, lr=0.005",28,-65.24448395
"b=10000, lr=0.005",29,-28.26176262
"b=10000, lr=0.005",30,-81.49423981
"b=10000, lr=0.005",31,-51.04476929
"b=10000, lr=0.005",32,-47.01293564
"b=10000, lr=0.005",33,-8.816677094
"b=10000, lr=0.005",34,-57.94674683
"b=10000, lr=0.005",35,-33.93479919
"b=10000, lr=0.005",36,-36.52528381
"b=10000, lr=0.005",37,-58.17849731
"b=10000, lr=0.005",38,-47.49580002
"b=10000, lr=0.005",39,-45.23918152
"b=10000, lr=0.005",40,-58.63090515
"b=10000, lr=0.005",41,-65.29251862
"b=10000, lr=0.005",42,-18.58642769
"b=10000, lr=0.005",43,-66.37905884
"b=10000, lr=0.005",44,-58.09950638
"b=10000, lr=0.005",45,-62.79180908
"b=10000, lr=0.005",46,-53.29302597
"b=10000, lr=0.005",47,-36.10904694
"b=10000, lr=0.005",48,-33.36725998
"b=10000, lr=0.005",49,-22.91996002
"b=10000, lr=0.005",50,-42.9162941
"b=10000, lr=0.005",51,-25.96905518
"b=10000, lr=0.005",52,-38.35461426
"b=10000, lr=0.005",53,-35.38607788
"b=10000, lr=0.005",54,-47.41023254
"b=10000, lr=0.005",55,-15.68536377
"b=10000, lr=0.005",56,-29.08595276
"b=10000, lr=0.005",57,-49.79904175
"b=10000, lr=0.005",58,-18.95511055
"b=10000, lr=0.005",59,-40.43393707
"b=10000, lr=0.005",60,-58.17042923
"b=10000, lr=0.005",61,-49.45440292
"b=10000, lr=0.005",62,-29.44155312
"b=10000, lr=0.005",63,-28.22981071
"b=10000, lr=0.005",64,-32.7625351
"b=10000, lr=0.005",65,-28.97709084
"b=10000, lr=0.005",66,-27.34997559
"b=10000, lr=0.005",67,-63.4290657
"b=10000, lr=0.005",68,-33.80900192
"b=10000, lr=0.005",69,-4.949530125
"b=10000, lr=0.005",70,-19.0150013
"b=10000, lr=0.005",71,-24.79925537
"b=10000, lr=0.005",72,-24.39243126
"b=10000, lr=0.005",73,-48.95464706
"b=10000, lr=0.005",74,-20.67865562
"b=10000, lr=0.005",75,-20.92487144
"b=10000, lr=0.005",76,-17.32109642
"b=10000, lr=0.005",77,-32.22072983
"b=10000, lr=0.005",78,-27.03395081
"b=10000, lr=0.005",79,22.86026764
"b=10000, lr=0.005",80,-7.61645937
"b=10000, lr=0.005",81,-18.66391754
"b=10000, lr=0.005",82,-4.853538513
"b=10000, lr=0.005",83,-5.178350925
"b=10000, lr=0.005",84,-8.784210205
"b=10000, lr=0.005",85,-18.63225746
"b=10000, lr=0.005",86,-1.111965775
"b=10000, lr=0.005",87,-7.548529148
"b=10000, lr=0.005",88,-15.79895115
"b=10000, lr=0.005",89,-9.204684258
"b=10000, lr=0.005",90,-6.454793453
"b=10000, lr=0.005",91,-10.81340027
"b=10000, lr=0.005",92,1.890536666
"b=10000, lr=0.005",93,-7.158662796
"b=10000, lr=0.005",94,-7.599315643
"b=10000, lr=0.005",95,9.015075684
"b=10000, lr=0.005",96,8.834466934
"b=10000, lr=0.005",97,-2.032964706
"b=10000, lr=0.005",98,4.996444225
"b=10000, lr=0.005",99,-13.88905239
"b=10000, lr=0.005",100,-0.586135089
"b=10000, lr=0.01",1,-76.20329285
"b=10000, lr=0.01",2,-79.22949982
"b=10000, lr=0.01",3,-69.62065125
"b=10000, lr=0.01",4,-75.61785889
"b=10000, lr=0.01",5,-75.7130127
"b=10000, lr=0.01",6,-89.94644928
"b=10000, lr=0.01",7,-68.82920837
"b=10000, lr=0.01",8,-95.0279541
"b=10000, lr=0.01",9,-60.50938797
"b=10000, lr=0.01",10,-60.50841141
"b=10000, lr=0.01",11,-67.36836243
"b=10000, lr=0.01",12,-78.66796875
"b=10000, lr=0.01",13,-28.24642944
"b=10000, lr=0.01",14,-51.01488876
"b=10000, lr=0.01",15,-38.11920166
"b=10000, lr=0.01",16,-78.56044769
"b=10000, lr=0.01",17,-6.170404911
"b=10000, lr=0.01",18,-50.02920532
"b=10000, lr=0.01",19,-65.12873077
"b=10000, lr=0.01",20,-29.94172668
"b=10000, lr=0.01",21,-82.29413605
"b=10000, lr=0.01",22,-70.71044159
"b=10000, lr=0.01",23,-16.50062752
"b=10000, lr=0.01",24,-24.09943199
"b=10000, lr=0.01",25,-30.60563087
"b=10000, lr=0.01",26,-44.76713562
"b=10000, lr=0.01",27,0.101991892
"b=10000, lr=0.01",28,-33.23195648
"b=10000, lr=0.01",29,-27.87812805
"b=10000, lr=0.01",30,-32.49541855
"b=10000, lr=0.01",31,-26.95202637
"b=10000, lr=0.01",32,-13.24198818
"b=10000, lr=0.01",33,-24.40724945
"b=10000, lr=0.01",34,-21.9360733
"b=10000, lr=0.01",35,-14.22058392
"b=10000, lr=0.01",36,-19.93539047
"b=10000, lr=0.01",37,-19.79644966
"b=10000, lr=0.01",38,-18.30211639
"b=10000, lr=0.01",39,-16.46279716
"b=10000, lr=0.01",40,-18.07830238
"b=10000, lr=0.01",41,-28.70551491
"b=10000, lr=0.01",42,-37.27915573
"b=10000, lr=0.01",43,-53.37095261
"b=10000, lr=0.01",44,-18.88178825
"b=10000, lr=0.01",45,-3.783097506
"b=10000, lr=0.01",46,-10.84304333
"b=10000, lr=0.01",47,-12.73011494
"b=10000, lr=0.01",48,1.043269157
"b=10000, lr=0.01",49,0.337884575
"b=10000, lr=0.01",50,-20.84967232
"b=10000, lr=0.01",51,-13.92166805
"b=10000, lr=0.01",52,-25.4053421
"b=10000, lr=0.01",53,-8.242825508
"b=10000, lr=0.01",54,-3.83619523
"b=10000, lr=0.01",55,-4.511663914
"b=10000, lr=0.01",56,-8.265016556
"b=10000, lr=0.01",57,-13.50815105
"b=10000, lr=0.01",58,-14.23478699
"b=10000, lr=0.01",59,0.41501689
"b=10000, lr=0.01",60,-19.421875
"b=10000, lr=0.01",61,-6.810908794
"b=10000, lr=0.01",62,7.8469491
"b=10000, lr=0.01",63,-8.241894722
"b=10000, lr=0.01",64,-11.26918888
"b=10000, lr=0.01",65,9.455947876
"b=10000, lr=0.01",66,12.91927338
"b=10000, lr=0.01",67,12.96107578
"b=10000, lr=0.01",68,11.14115238
"b=10000, lr=0.01",69,-2.046537399
"b=10000, lr=0.01",70,10.10554886
"b=10000, lr=0.01",71,7.192943096
"b=10000, lr=0.01",72,16.97060585
"b=10000, lr=0.01",73,10.51250172
"b=10000, lr=0.01",74,9.811858177
"b=10000, lr=0.01",75,35.80116272
"b=10000, lr=0.01",76,36.80385971
"b=10000, lr=0.01",77,41.54017639
"b=10000, lr=0.01",78,17.95731544
"b=10000, lr=0.01",79,37.5592308
"b=10000, lr=0.01",80,43.272995
"b=10000, lr=0.01",81,34.80736923
"b=10000, lr=0.01",82,44.85664749
"b=10000, lr=0.01",83,32.4631691
"b=10000, lr=0.01",84,44.633564
"b=10000, lr=0.01",85,43.18181992
"b=10000, lr=0.01",86,54.58246231
"b=10000, lr=0.01",87,64.1423111
"b=10000, lr=0.01",88,48.77674484
"b=10000, lr=0.01",89,55.37719727
"b=10000, lr=0.01",90,80.19433594
"b=10000, lr=0.01",91,43.72951889
"b=10000, lr=0.01",92,69.5694809
"b=10000, lr=0.01",93,34.5261116
"b=10000, lr=0.01",94,70.65078735
"b=10000, lr=0.01",95,56.60800552
"b=10000, lr=0.01",96,60.70845413
"b=10000, lr=0.01",97,86.20874023
"b=10000, lr=0.01",98,62.18757629
"b=10000, lr=0.01",99,80.71582794
"b=10000, lr=0.01",100,85.47621918
"b=10000, lr=0.02",1,-81.62752533
"b=10000, lr=0.02",2,-86.03252411
"b=10000, lr=0.02",3,-100.5234375
"b=10000, lr=0.02",4,-114.6640244
"b=10000, lr=0.02",5,-89.11993408
"b=10000, lr=0.02",6,-104.9366684
"b=10000, lr=0.02",7,-71.58765411
"b=10000, lr=0.02",8,-67.09222412
"b=10000, lr=0.02",9,-60.78879929
"b=10000, lr=0.02",10,-57.46192551
"b=10000, lr=0.02",11,-63.82684326
"b=10000, lr=0.02",12,-46.41437912
"b=10000, lr=0.02",13,-42.47665787
"b=10000, lr=0.02",14,-34.67345047
"b=10000, lr=0.02",15,-62.97616959
"b=10000, lr=0.02",16,-41.72782516
"b=10000, lr=0.02",17,-27.90034676
"b=10000, lr=0.02",18,-43.34886551
"b=10000, lr=0.02",19,-39.5684166
"b=10000, lr=0.02",20,-29.93371582
"b=10000, lr=0.02",21,-3.115056276
"b=10000, lr=0.02",22,-29.93239784
"b=10000, lr=0.02",23,-40.10043716
"b=10000, lr=0.02",24,-14.28966618
"b=10000, lr=0.02",25,5.451625347
"b=10000, lr=0.02",26,-8.119551659
"b=10000, lr=0.02",27,-28.3698864
"b=10000, lr=0.02",28,-5.402806759
"b=10000, lr=0.02",29,-21.31475639
"b=10000, lr=0.02",30,-12.26150894
"b=10000, lr=0.02",31,-31.57860565
"b=10000, lr=0.02",32,-24.36978912
"b=10000, lr=0.02",33,0.294707626
"b=10000, lr=0.02",34,-15.38296986
"b=10000, lr=0.02",35,-1.935124755
"b=10000, lr=0.02",36,-1.11410296
"b=10000, lr=0.02",37,-7.817218781
"b=10000, lr=0.02",38,-1.467791557
"b=10000, lr=0.02",39,-20.16173363
"b=10000, lr=0.02",40,15.76229477
"b=10000, lr=0.02",41,-11.86727524
"b=10000, lr=0.02",42,-7.759902954
"b=10000, lr=0.02",43,29.67354012
"b=10000, lr=0.02",44,29.3259964
"b=10000, lr=0.02",45,13.05701542
"b=10000, lr=0.02",46,6.875097752
"b=10000, lr=0.02",47,1.462215781
"b=10000, lr=0.02",48,13.21330643
"b=10000, lr=0.02",49,8.941981316
"b=10000, lr=0.02",50,26.02254677
"b=10000, lr=0.02",51,24.06926155
"b=10000, lr=0.02",52,12.69020939
"b=10000, lr=0.02",53,15.52616596
"b=10000, lr=0.02",54,28.95186806
"b=10000, lr=0.02",55,21.66911125
"b=10000, lr=0.02",56,31.34982872
"b=10000, lr=0.02",57,35.74725723
"b=10000, lr=0.02",58,51.99576187
"b=10000, lr=0.02",59,35.57472229
"b=10000, lr=0.02",60,34.72345352
"b=10000, lr=0.02",61,64.92137909
"b=10000, lr=0.02",62,68.07485962
"b=10000, lr=0.02",63,49.46693802
"b=10000, lr=0.02",64,21.9446106
"b=10000, lr=0.02",65,50.63959885
"b=10000, lr=0.02",66,47.28029251
"b=10000, lr=0.02",67,32.42045975
"b=10000, lr=0.02",68,19.41689491
"b=10000, lr=0.02",69,24.71739388
"b=10000, lr=0.02",70,19.75691414
"b=10000, lr=0.02",71,8.680579185
"b=10000, lr=0.02",72,75.17899323
"b=10000, lr=0.02",73,44.49557495
"b=10000, lr=0.02",74,38.36365128
"b=10000, lr=0.02",75,54.22886276
"b=10000, lr=0.02",76,62.85598755
"b=10000, lr=0.02",77,71.10544586
"b=10000, lr=0.02",78,65.10381317
"b=10000, lr=0.02",79,91.81455231
"b=10000, lr=0.02",80,62.96358109
"b=10000, lr=0.02",81,53.29182816
"b=10000, lr=0.02",82,70.20068359
"b=10000, lr=0.02",83,54.03390121
"b=10000, lr=0.02",84,76.32138824
"b=10000, lr=0.02",85,62.5263176
"b=10000, lr=0.02",86,62.23637009
"b=10000, lr=0.02",87,56.18445969
"b=10000, lr=0.02",88,66.92861176
"b=10000, lr=0.02",89,39.19416428
"b=10000, lr=0.02",90,77.64911652
"b=10000, lr=0.02",91,80.12728119
"b=10000, lr=0.02",92,68.42948151
"b=10000, lr=0.02",93,44.74645615
"b=10000, lr=0.02",94,71.65465546
"b=10000, lr=0.02",95,75.35298157
"b=10000, lr=0.02",96,62.55731201
"b=10000, lr=0.02",97,73.03411102
"b=10000, lr=0.02",98,52.56599045
"b=10000, lr=0.02",99,70.65144348
"b=10000, lr=0.02",100,52.29238892
"b=30000, lr=0.005",1,-90.32952881
"b=30000, lr=0.005",2,-115.1708374
"b=30000, lr=0.005",3,-89.35749054
"b=30000, lr=0.005",4,-105.6234131
"b=30000, lr=0.005",5,-90.36812592
"b=30000, lr=0.005",6,-49.2804718
"b=30000, lr=0.005",7,-56.29808426
"b=30000, lr=0.005",8,-46.23947144
"b=30000, lr=0.005",9,-81.31208801
"b=30000, lr=0.005",10,-61.53085327
"b=30000, lr=0.005",11,-47.51950073
"b=30000, lr=0.005",12,-79.42307281
"b=30000, lr=0.005",13,-59.02067947
"b=30000, lr=0.005",14,-53.90577316
"b=30000, lr=0.005",15,-61.41379929
"b=30000, lr=0.005",16,-67.89557648
"b=30000, lr=0.005",17,-69.13425446
"b=30000, lr=0.005",18,-76.70171356
"b=30000, lr=0.005",19,-56.47299194
"b=30000, lr=0.005",20,-44.88497925
"b=30000, lr=0.005",21,-63.29338455
"b=30000, lr=0.005",22,-53.18437576
"b=30000, lr=0.005",23,-19.23880196
"b=30000, lr=0.005",24,-37.62417603
"b=30000, lr=0.005",25,-59.49026871
"b=30000, lr=0.005",26,-54.73393631
"b=30000, lr=0.005",27,-44.49333191
"b=30000, lr=0.005",28,-57.30525589
"b=30000, lr=0.005",29,-45.84695053
"b=30000, lr=0.005",30,-52.44543076
"b=30000, lr=0.005",31,-26.2990036
"b=30000, lr=0.005",32,-24.1020298
"b=30000, lr=0.005",33,-40.49869156
"b=30000, lr=0.005",34,-57.25453186
"b=30000, lr=0.005",35,-56.21743774
"b=30000, lr=0.005",36,-56.02481079
"b=30000, lr=0.005",37,-47.19973755
"b=30000, lr=0.005",38,-25.14507866
"b=30000, lr=0.005",39,-48.41022873
"b=30000, lr=0.005",40,-27.56297493
"b=30000, lr=0.005",41,-32.36688614
"b=30000, lr=0.005",42,-43.09410477
"b=30000, lr=0.005",43,-20.25154305
"b=30000, lr=0.005",44,-68.68751526
"b=30000, lr=0.005",45,-59.68701172
"b=30000, lr=0.005",46,-37.65998459
"b=30000, lr=0.005",47,-23.34765053
"b=30000, lr=0.005",48,-52.56882095
"b=30000, lr=0.005",49,-31.44900322
"b=30000, lr=0.005",50,-28.70373726
"b=30000, lr=0.005",51,-38.69179916
"b=30000, lr=0.005",52,-36.49094772
"b=30000, lr=0.005",53,-21.63922119
"b=30000, lr=0.005",54,-28.06128693
"b=30000, lr=0.005",55,-35.41695023
"b=30000, lr=0.005",56,-18.79119682
"b=30000, lr=0.005",57,-28.10674858
"b=30000, lr=0.005",58,-26.74289894
"b=30000, lr=0.005",59,-15.03737164
"b=30000, lr=0.005",60,-33.80460739
"b=30000, lr=0.005",61,-22.35418129
"b=30000, lr=0.005",62,-43.87746048
"b=30000, lr=0.005",63,-12.82507992
"b=30000, lr=0.005",64,-16.4102459
"b=30000, lr=0.005",65,-21.92200279
"b=30000, lr=0.005",66,-30.70554543
"b=30000, lr=0.005",67,-33.01207352
"b=30000, lr=0.005",68,-9.731215477
"b=30000, lr=0.005",69,-26.57325172
"b=30000, lr=0.005",70,-19.79990578
"b=30000, lr=0.005",71,-13.40357208
"b=30000, lr=0.005",72,-21.79006004
"b=30000, lr=0.005",73,-30.43860817
"b=30000, lr=0.005",74,-23.22807503
"b=30000, lr=0.005",75,-18.26397514
"b=30000, lr=0.005",76,-24.54940987
"b=30000, lr=0.005",77,7.664275646
"b=30000, lr=0.005",78,-18.05675316
"b=30000, lr=0.005",79,-16.33595848
"b=30000, lr=0.005",80,-1.160185814
"b=30000, lr=0.005",81,-14.94779682
"b=30000, lr=0.005",82,-2.679551125
"b=30000, lr=0.005",83,-8.185194969
"b=30000, lr=0.005",84,-11.65775585
"b=30000, lr=0.005",85,-36.18582916
"b=30000, lr=0.005",86,0.587215424
"b=30000, lr=0.005",87,-4.001228809
"b=30000, lr=0.005",88,-3.954586267
"b=30000, lr=0.005",89,-0.635833085
"b=30000, lr=0.005",90,17.66609001
"b=30000, lr=0.005",91,22.0793972
"b=30000, lr=0.005",92,10.79312897
"b=30000, lr=0.005",93,5.365348339
"b=30000, lr=0.005",94,11.57554722
"b=30000, lr=0.005",95,23.2714901
"b=30000, lr=0.005",96,8.243802071
"b=30000, lr=0.005",97,16.56641197
"b=30000, lr=0.005",98,5.471338272
"b=30000, lr=0.005",99,23.0326786
"b=30000, lr=0.005",100,5.579736233
"b=30000, lr=0.01",1,-78.99072266
"b=30000, lr=0.01",2,-84.37306976
"b=30000, lr=0.01",3,-81.78162384
"b=30000, lr=0.01",4,-101.2193985
"b=30000, lr=0.01",5,-75.5487442
"b=30000, lr=0.01",6,-59.47068405
"b=30000, lr=0.01",7,-46.52149582
"b=30000, lr=0.01",8,-73.24038696
"b=30000, lr=0.01",9,-82.99608612
"b=30000, lr=0.01",10,-38.04224014
"b=30000, lr=0.01",11,-45.30357361
"b=30000, lr=0.01",12,-50.76817322
"b=30000, lr=0.01",13,-49.36535645
"b=30000, lr=0.01",14,-29.57935143
"b=30000, lr=0.01",15,-90.84204102
"b=30000, lr=0.01",16,-8.232503891
"b=30000, lr=0.01",17,-58.60977173
"b=30000, lr=0.01",18,-58.54112625
"b=30000, lr=0.01",19,-60.07888412
"b=30000, lr=0.01",20,-28.95642281
"b=30000, lr=0.01",21,-45.92866898
"b=30000, lr=0.01",22,-55.35000229
"b=30000, lr=0.01",23,-36.32085037
"b=30000, lr=0.01",24,-46.32433701
"b=30000, lr=0.01",25,-50.22360229
"b=30000, lr=0.01",26,-29.66264915
"b=30000, lr=0.01",27,-31.06781578
"b=30000, lr=0.01",28,-18.15423393
"b=30000, lr=0.01",29,-46.01089859
"b=30000, lr=0.01",30,-18.41414833
"b=30000, lr=0.01",31,-11.31955338
"b=30000, lr=0.01",32,-16.88145065
"b=30000, lr=0.01",33,-25.55329323
"b=30000, lr=0.01",34,-9.165892601
"b=30000, lr=0.01",35,-37.06669235
"b=30000, lr=0.01",36,-19.81911469
"b=30000, lr=0.01",37,-17.04249763
"b=30000, lr=0.01",38,-12.0003233
"b=30000, lr=0.01",39,-16.995924
"b=30000, lr=0.01",40,-17.56302452
"b=30000, lr=0.01",41,-21.40498352
"b=30000, lr=0.01",42,-25.23555946
"b=30000, lr=0.01",43,-6.843883514
"b=30000, lr=0.01",44,-14.589324
"b=30000, lr=0.01",45,-14.54397488
